Al Gash, Atbara, Seteit, Gash, Kassala, Sudan;verde
Amhara Region, Districts of Mekit, Ambassel and Werilu;verde
Anseba, Debub, Eritrea;verde
Aweil East, Northern Bahr El Ghazal, Sudan;verde
Bafata-Gabù;rosso
Bari & Nugal Regions, Puntland;blu
Batha Ouest, Ati;verde
Benguela;rosso
Bié and Huambo;verde
Bo , Pujehun, Kenema, Sierra Leone;verde
Bo, Moyamba, Sierra Leone;verde
Bong County;rosso
Bonthe District, Sierra Leone;verde
Boucle du Mouhoun, Nayala, Gassan, Gossina, Kougny, Toma, Yaba, Yé;verde
Brakna;rosso
Burkina Faso;blu
Burkina Faso;verde
Burkina Faso,  Séno, Oudalan;verde
Burkina Faso, Mouhoun.;verde
Burkina Faso, Plateau Central,  Hauts Bassins.;verde
Burundi;verde
Burundi, Gitega, Ruyigi, Rumonge, Bururi;verde
Bururi;verde
Cascades, Hauts Bassins;verde
Chiredzi, Zimbabwe, Sangwe, Chizvirizvi, Malilangwe ;verde
Conakry;rosso
Conakry et Kindia;verde
Conakry, Guinée maritime, Guinée forestière;verde
Côte d'Ivoire;rosso
Dandoli, Muetoumo, Ondogou, Pelou, Kendé, Soroly, Wadouba et Ségué-ire, Cercle de Bandiagara, Région de Mopti, Mali.;blu
Debarwa, Dekemhare, Debub.;verde
Debub, Eritrea;verde
Ecunha, Province of Huambo, Angola;rosso
Ed Daein, South Darfur,Sudan;verde
Eritrea;verde
Eritrea;verde
Eritrea;verde
Ethiopia, Oromia;verde
Ethiopia,Oromia, Amhara ;verde
Ethipioa;verde
Ethipioa;verde
Freetown,  Sierra Leone;verde
Ganki, Gorgol;rosso
Ghana,  Upper East;verde
Ghana, Wa East district, Upper West Region;verde
GHANA, ASHANTI ;blu
Gitega, Burundi;verde
Gnagna;verde
Gorgol Brakna Assaba hodh el Gharbi;rosso
Guéra, Salamat;verde
Guiné-Bissau;verde
Guinée;verde
Guinée;verde
Guinée Conakry;verde
Guinée-Bissau, Cacheu, Oio, Quinara, Tombali et Bolama;verde
Telkuk, Sudan;verde
Hantam Karoo District, Northern Cape Province, Republic of South Africa;rosso
Haute Guinée.;verde
Rwanda, Kamonyi, Gitarama;rosso
Kamuli, Uganda;rosso
Karusi, Burundi;verde
Kasinthula, Chikwawa District, Southern Region, Malawi;blu
Kassala, Sudan;verde
Kenya;verde
Kenya;verde
Kenya, Msambweni;rosso
Kenya, Nairobi, Kisumu;verde
Kitui, Eastern Province;rosso
Koinadugu, Wara Wara Yagala, Sengbe, Folosaba Dembelia, Dembelia Sinkunia, Kasonko.;verde
Kolda, Sédhiou, Vélingara;rosso
Ziguinchor;rosso
Kouritenga;verde
Lesotho;verde
Lesotho;verde
Lesotho;verde
Liberia, Gbarpolu;verde
Liberia, Maryland, River Gee, Grand Kru;verde
Liberia, Monrovia, Tubmanburg;verde
Liberia, Montserrado, Old Road, Congo Town, Paynesville, Gardnersville, Barnersville, Johnsonville;verde
Juba,  Somalia;verde
Madagascar;verde
Madagascar;verde
Madagascar;verde
MADAGASCAR - Région VATOVAVY FITOVINANY;verde
Maekel, Eritrea;rosso
Malawi,  Balaka District, Msamala;rosso
Malawi, Blantyre, Balaka;verde
Malawi, Blantyre, Zomba, Chiradzulu, Thyolo, Mulanje;verde
Malawi, Chikwawa, Blantyre, Dwangwa.;blu
Malawi, Dedza District, Kasumbu;rosso
Malawi, Kasungu, Njomba, Kaomba, Mwase;verde
Malawi, Lilongwe, Zomba, Phalombe, Chikowi, Mwambo, Mkhumba & Nazombe;verde
Malawi, Phalombe District, Mkhumba;rosso
Mali,  Mopti, Bandiagara, Bara Sara, Dimanati, Dourou et Kendié.;verde
MALI, Gao, Sikasso;verde
Mali, Kayes, Sikasso, Bougouni, Yanfolila et Kolondiéba;rosso
Mali, Mopti,Djenné et Mopti, Koro, Bandiagara, Wadouba, Soroly, Doucombo, Dnadoli, Sangha, Pelou, Mietouma;verde
Mali, Ségou, Mopti, Gao, Tombouctou et Bamako;verde
Mali, Sikasso, Kolondiéba, Ngolodiana, Mena, Kébila, Bougoula, Farako;verde
MAN, yvory coast;blu
Mandoul, Barh-Sara;rosso
Maputo, Gaza;verde
Mauritanie, Gorgol,  Kaedi;verde
Mauritanie, Brakna;verde
Mauritanie, Guidimakha, Assaba;verde
Mauritanie, Guidimakha;verde
Mozambique Gaza ;verde
Mozambique, Nampula, Cabo Delgado;verde
Cunene, Benguela, Huambo;verde
NIGER, Zinder, Agadez, Tillabéry, Niamey;verde
Nord Kivu, Butembo;blu
Nord,Côte d'Ivoire;rosso
North Bombali, Sierra Leone;verde
Northern Red Sea Region, Eritrea;verde
Nya Pendé, Tchad;verde
Pader District;rosso
RD Congo, Kinshasa, plateau Bateke;verde
RD Congo, province du Bas Congo, Kimpese;verde
RD Congo, Sud Kivu;blu
Katanga;blu
Androy;verde
Région de Weima, District de Tadjourah, République de Djibouti;rosso
Région des Savanes - Togo;rosso
Sudan, Kordofane;verde
Republica Democrática de São Tomé e Príncipe;verde
République Centrafricaine - Sibut (Kémo);verde
République Centrafricaine, Ouham Pendé;verde
République Centrafricaine, Ouham Pende, Bangui;rosso
Rift Valley, Central Kenya;rosso
Rumphi, Malawi;verde
Rwanda;rosso
Sanaag and Karkaar Regions, Somaliland;verde
Sanmatenga, Bam, Ganzourgou, Oubritenga, Kongoussi;verde
Sao Tomé e Príncipe;verde
Sella Limba, Sanda Loko and Gbanti Kamaranka Chiefdoms, Bombali District, Sierra Leone;verde
Senegal;verde
Sénégal, Fatick, Kaolack, Kaffrine et Kolda;verde
Sido, Région Moyen Chari, Tchad;blu
Sierra Leone;verde
Simbaru, Wandor Chiefdoms, Kenema, Sierra Leone;verde
Sissili,  Tô , Nebialianayou, Bieha, Bourra, Silly, Léo.;rosso
Somalia;blu
Somalia;blu
Southeast Liberia;verde
Sudan, Warrap, Gogrial;verde
Sud Kivu,  Bukavu;rosso
Sud Kivu, République démocratique du Congo;blu
Sudan, Kassala State, Hamesh Koreib;verde
Sudan, Kassala, Sieteet, Hamashkorib.;rosso
Sudan, Khartoum State, Kerari locality, El Fateh;verde
Swaziland, Hhohho, Tinkhundla;rosso
Tanzania;blu
Tanzania;blu
Tanzania;verde
Tanzania;verde
Tanzania;verde
Tanzania, Lindi, Mtwara, Masasi, Nanyumbu, Kigoma, Kibondo, Iringa Kilolo  Ethiopia, Offa  Burundi, Kirundo;rosso
Tchaoudjo, Assoli, Sotouboua, Bassar, Togo.;rosso
TIMOR LESTE;verde
TOGO;verde
Togo, Karah;rosso
Tonkolili District Sierra Leone;verde
Tonkolili District, Sierra Leone;verde
Tsholotsho, Lupane, Nkayi, Matabeleland, Gwanda, Beitbridge, Matabeleland, Chivi, Masvingo Province, Zimbabwe;verde
West Darfur, Sudan;verde
Gambia;rosso
Zimbabwe;verde
Zimbabwe;verde
Zimbabwe;verde
Zimbabwe;rosso
Zimbabwe,  Midlands, Gokwe South;verde
Zimbabwe, Hwange, Binga;verde
Zimbabwe, Manicaland  Midlands, Makoni, Lower Gweru & Kwekwe;verde
Zimbabwe, Manicaland Province; Chipinge District,verde
Zimbabwe, Manicaland, Chipinge;verde
Zimbabwe, Manicaland, Chipinge;verde
Zimbabwe, Manicaland, Chipinge;verde
Zimbabwe, Manicaland, Masvingo Districts, Chipinge, Buhera, Chiredzi, Masvingo, Zimbabwe;verde
Zimbabwe, Mashona;rosso
Zimbabwe, Matabeleland,  Insiza, Gwanda;verde
Zimbabwe, Matabeleland, Bulawayo;verde
Zimbabwe, Kwekwe, Gweru;verde
Zimbabwe, Midlands, Masvingo, Gutu, Chirumanzu,  Zvishavane;verde
Zimbabwe, Bubi;verde
Zomba, Malawi;verde
Zorzor, Salayea districts, Lofa, Liberia;verde
Guinee, Haute Guinee;verde
Benin,  Oueme, Zou, Alibori;verde
Benin, Atacora Donga;verde
Boulgou, Kouritenga;verde
Cameroon, Makenene;rosso
Ghana, Upper West;verde
Mapungubwe, Limpopo;verde
 Ethiopia, Tigray, Hintalo, Wajirat;rosso
Mali, Mopti;rosso
Bobo Dioulasso;rosso
Passora;verde
Bandundu;verde
Sudan, Raga;verde
Guinea, Kouroussa;rosso
 Ethiopia, Tigray, Wokro ;verde
Somalia, Togdheer, Sanag ;blu
Zimbabwe, Bikita,  Masvingo;verde
Zimbabwe,  Manicaland;verde
