Somalia, Ainabo, Elafwein;verde
 Ethiopia, Dugda, Kachabira;verde
South Sudan, Bahr El Ghaza, Aweil , ;verde
Republique Centrafricaine, Bambari, Kouango ;verde
 Ethiopia, Borana;verde
South Sudan, Cueibet;verde
Sudan, Derudeb  Haiya;verde
Eritrea, Gelalo, Foro;verde
Somalia, Gardo, Banderbeyla;verde
 Sudan, Gunub, Awlieb;verde
Mandelia, Dagana, Tourba;rosso
Sudan, Jebet, Maaden;verde
South Sudan, Lainya, Mugwo, ;verde
Lango, Oyam;rosso
Madagascar,  Matriatra;verde
South Sudan, Mvolo, Yirol ;verde
Mozambico, Buzi,  Marracuene;verde
Oudalan, Soum, Yagha;verde
Sudan, Rumbek, Malueth;verde
SUDAN, JUR;verde
Togo, Kpendjal, Tandoare;verde
Togo, Region Maritime;verde
Founzan, Koti, Koumbia;verde
Sudan,  Warrab, Twic;verde
Panyikango, Manyo;verde
Areza, Debarwa;verde
Eritrea, Zoba Debub;verde
