CONTRACT_N,NAME_IMPL_PARTN,FREQ_NGO,CONTRACT_N,CNTRY_REG,F_CODE,Focal_sector_CSP,DECISION_CONTRACT_YEAR,Contractor_s_signature_date,MR_NUMBER,NAT,TYPE_OF_MR,SUBREGION,DOMAIN,DECISION_N,PROJECT_TITLE,ONGOING_EXPOST,CODE_IMPL_PARTN,TYPE_IMPL_PARTN,PRIM_COMMNT,SEC_COMMNT,CRS_CODE,CRS,REL_L,EFC_L,EFT_L,IMP_L,SUS_L,GRADES,BCS_1_1,BCS_1_2,BCS_1_3,BCS_1_4,BCS_3_1,BCS_3_2,BCS_4_1,BCS_4_2,BCS_5_1,BCS_5_2,BCS_5_3,BCS_5_4,BCS_7_1,BCS_7_2,BCS_7_3,BCS_7_4,BCS_2_1,BCS_2_2,BCS_2_3,BCS_2_4,START_DATE,END_DATE,MR_DATE,VISIT_DATE,YEAR_MR,YEAR,CODE_PROJECT,COD_PJ_UNIV,COD_PJ_UNIV_CNT,COD_PJ_UNIV_CNT_TYPE_MR,PJ_OLD_AGE,PJ_OLD_AGE_YEAR,PHASE_PJ,PERFORMANCE,BCS_1_1_GOOD_BAD,BCS_1_2_GOOD_BAD,BCS_1_3_GOOD_BAD,BCS_1_4_GOOD_BAD,BCS_2_1_GOOD_BAD,BCS_2_2_GOOD_BAD,BCS_2_3_GOOD_BAD,BCS_2_4_GOOD_BAD,BCS_3_1_GOOD_BAD,BCS_3_2_GOOD_BAD,BCS_4_1_GOOD_BAD,BCS_4_2_GOOD_BAD,BCS_5_1_GOOD_BAD,BCS_5_2_GOOD_BAD,BCS_5_3_GOOD_BAD,BCS_5_4_GOOD_BAD,REL_L_GOOD_BAD,EFC_L_GOOD_BAD,EFT_L_GOOD_BAD,IMP_L_GOOD_BAD,SUS_L_GOOD_BAD,GOOD_BAD,SEC_COMMNT_CLASS,SEC_COMMNT_CLASS_v2,EC_DISBOUR_CLASS,SEC_COMM_PRIM_COMMT,DISBOUR_SEC_COMM,EC_DISBOUR_MORE_LESS_1,PERC_DAYS_DATEMR_PJOLD,IMPL_PART_MACRO,FILE_INPUT,IHDI_2000,IHDI_2011,IHDI_INCREASE_2000_2011,TOP_MOVERS,BOTTOM_MOVERS,IHDI_LEVEL,SUB_DOMAIN,MACRO_DOMAIN,CRS_RICLASS,YEAR_START,YEAR_PROGR,PRIM_COMMNT_CLASS,PJ_OLD_AGE_YEAR_CLASS,FOCAL_SECTOR,EC_DISBOUR,DISBOUR_PRIM_COMM,DISBOUR_DURATION_PJ,DISBOUR_DURATIONPJ_CLASS,FIN_RHYTHM_VS_CAL_RHYTHM,LOCATION,LIVESTOCK,FISHERY,MAIN_CROPS,FRT_VGB,IRRIGATION,LAND,ENVIRONMENT,FARMERS,VULNERABLEGROUPS,FOOD,vulnerability,INSTITUTIONS,GROUPS,partner,CREDIT,MARKET,INPUTS,MECHANIZATION,EXT_TRN,innovation,INCOME,INVESTMENT,POLICY,PROD_FOCUS,PHY_RSC ,TYPE_BF,VULN,INSTIT,MARKET_VAR,SP_PRP ,PLCY_RLTD,BCS_1_1_NUM_A,BCS_1_3_NUM_A,BCS_1_4_NUM_A,BCS_3_2_NUM_A,BCS_4_1_NUM_A,BCS_4_2_NUM_A,BCS_5_2_NUM_A,BCS_5_3_NUM_A,BCS_5_4_NUM_A,BCS_1_1_NUM_B,BCS_1_3_NUM_B,BCS_1_4_NUM_B,BCS_3_2_NUM_B,BCS_4_1_NUM_B,BCS_4_2_NUM_B,BCS_5_2_NUM_B,BCS_5_3_NUM_B,BCS_5_4_NUM_B,BCS_1_1_NUM_C,BCS_1_3_NUM_C,BCS_1_4_NUM_C,BCS_3_2_NUM_C,BCS_4_1_NUM_C,BCS_4_2_NUM_C,BCS_5_2_NUM_C,BCS_5_3_NUM_C,BCS_5_4_NUM_C,BCS_1_1_NUM_D,BCS_1_3_NUM_D,BCS_1_4_NUM_D,BCS_3_2_NUM_D,BCS_4_1_NUM_D,BCS_4_2_NUM_D,BCS_5_2_NUM_D,BCS_5_3_NUM_D,BCS_5_4_NUM_D,TOT_A_STRATEGIC,TOT_B_STRATEGIC,TOT_C_STRATEGIC,TOT_D_STRATEGIC,BCS_1_2_NUM_A,BCS_2_1_NUM_A,BCS_2_2_NUM_A,BCS_2_3_NUM_A,BCS_2_4_NUM_A,BCS_3_1_NUM_A,BCS_5_1_NUM_A,BCS_1_2_NUM_B,BCS_2_1_NUM_B,BCS_2_2_NUM_B,BCS_2_3_NUM_B,BCS_2_4_NUM_B,BCS_3_1_NUM_B,BCS_5_1_NUM_B,BCS_1_2_NUM_C,BCS_2_1_NUM_C,BCS_2_2_NUM_C,BCS_2_3_NUM_C,BCS_2_4_NUM_C,BCS_3_1_NUM_C,BCS_5_1_NUM_C,BCS_1_2_NUM_D,BCS_2_1_NUM_D,BCS_2_2_NUM_D,BCS_2_3_NUM_D,BCS_2_4_NUM_D,BCS_3_1_NUM_D,BCS_5_1_NUM_D,TOT_A_OPERAT,TOT_B_OPERAT,TOT_C_OPERAT,TOT_D_OPERAT,NUM_NODE_TREE_3,GRADES,NEW_GRADE,NEW_GRADE_SIMPLIFIED,N_CLUSTER_N20,N_CLUSTER_N5,,,,NEW GRADE SIMPLIFIED
10966,CONCERN UNIVERSAL LBG,,10966,GAMBIA,,,1998,11/19/1998,MR-000892.01,1593,SINGLE COUNTRY NATIONAL PROJECT,WESTERN AFRICA REGION,ONG-PVD,,"FARMING SYSTEMS TRAINING PROGRAMME, NORTH BANK DIVISIONTHE GAMBIA",ONGOING,1,INTERNAT NGO CSO UNI,412747,412747,31181,AGRICULTURAL EDUCATION TRAINING,C,C,B,B,B,IIC,,,,,,,,,,,,,,,,,,,,,1/1/1999,5/19/2004,2/11/2003,2/11/2003,2003,2003,10966,"10966.000000FARMINGSYSTEMSTRAININGPROGRAMME,NORTHBANKDIVISIONTHEGAMBIA","10966.000000FARMINGSYSTEMSTRAININGPROGRAMME,NORTHBANKDIVISIONTHEGAMBIAGAMBIA","10966.000000FARMINGSYSTEMSTRAININGPROGRAMME,NORTHBANKDIVISIONTHEGAMBIAGAMBIASINGLE COUNTRY NATIONAL PROJECT",1965,5.3835616438,OLD,GOOD,,,,,,,,,,,,,,,,,BAD,BAD,GOOD,GOOD,GOOD,GOOD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,0.7643765903,NGO,FOOD_2_INTEGRAZ,0.36,0.42,0.1666666667,,,low,ONG_PVD,NGO,31100,1999,BEFORE_2002,1CLASS_LESS_0_5_ML,4C_ABOVE_4_YEARS,NONE,412747,1,1.3082556591,0CLASS_1QUARTILE,3C_NORMAL,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,IIC,BC,PROBLEMS,cluster-5,cluster-2,,,,PROBLEMS
11162,SELF HELP AFRICA (UK) LBG,SUPER,11162,ZAMBIA,,,1999,1/26/2000,MR-000453.02,9356,SINGLE COUNTRY NATIONAL PROJECT,SOUTHERN AFRICA REGION,ONG-PVD,,PROMOTION OF COMMUNITY BASED ORGANISATIONS (CBO) IN RURALZAMBIA,ONGOING,1,INTERNAT NGO CSO UNI,247110,247110,43040,RURAL DEVELOPMENT,C,C,B,C,B,III,,,,,,,,,,,,,,,,,,,,,1/1/2000,1/26/2003,4/30/2003,4/30/2003,2003,2003,11162,11162.000000PROMOTIONOFCOMMUNITYBASEDORGANISATIONS(CBO)INRURALZAMBIA,11162.000000PROMOTIONOFCOMMUNITYBASEDORGANISATIONS(CBO)INRURALZAMBIAZAMBIA,11162.000000PROMOTIONOFCOMMUNITYBASEDORGANISATIONS(CBO)INRURALZAMBIAZAMBIASINGLE COUNTRY NATIONAL PROJECT,1121,3.0712328767,DEAD,BAD,,,,,,,,,,,,,,,,,BAD,BAD,GOOD,BAD,GOOD,BAD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,1.0838537021,NGO,FOOD_2_INTEGRAZ,0.371,0.43,0.1590296496,,,low,ONG_PVD,NGO,43040,2000,BEFORE_2002,1CLASS_LESS_0_5_ML,3C_3_4_YEARS,NONE,247110,1,0.9226337449,0CLASS_1QUARTILE,2C_LATE,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,III,AB,OK,cluster-5,cluster-2,,,,OK
11280,PRACTICAL ACTION LBG,FREQUENT,11280,ZIMBABWE,,,1999,4/3/2000,MR-001094.01,9365,SINGLE COUNTRY NATIONAL PROJECT,SOUTHERN AFRICA REGION,ONG-PVD,,STRENGTHENING THE LIVELIHOODS OF POOR RURAL COMMUNITIES INSOUTHERN AFRICA - ZIMBABWE,ONGOING,1,INTERNAT NGO CSO UNI,406727.2,406727.2,43040,RURAL DEVELOPMENT,A,B,B,B,B,IIA,,,,,,,,,,,,,,,,,,,,,4/1/2000,10/3/2005,12/5/2003,12/5/2003,2003,2003,11280,11280.000000STRENGTHENINGTHELIVELIHOODSOFPOORRURALCOMMUNITIESINSOUTHERNAFRICA-ZIMBABWE,11280.000000STRENGTHENINGTHELIVELIHOODSOFPOORRURALCOMMUNITIESINSOUTHERNAFRICA-ZIMBABWEZIMBABWE,11280.000000STRENGTHENINGTHELIVELIHOODSOFPOORRURALCOMMUNITIESINSOUTHERNAFRICA-ZIMBABWEZIMBABWESINGLE COUNTRY NATIONAL PROJECT,2011,5.5095890411,OLD,VERY GOOD,,,,,,,,,,,,,,,,,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,0.6678269518,NGO,FOOD_2_INTEGRAZ,0.372,0.376,0.0107526882,,yes,low,ONG_PVD,NGO,43040,2000,BEFORE_2002,1CLASS_LESS_0_5_ML,4C_ABOVE_4_YEARS,NONE,406727.2,1,1.4973938943,0CLASS_1QUARTILE,3C_NORMAL,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,IIA,AA,OK,cluster-5,cluster-2,,,,OK
11374,COMITATO EUROPEO PER LA FORMAZIONEE L'AGRICOLTURA ONLUS ASSOCIAZIONE,FREQUENT,11374,ERITREA,,,2000,2/15/2001,MR-001037.01,1605,SINGLE COUNTRY NATIONAL PROJECT,EASTERN AFRICA AND INDIAN OCEAN,ONG-PVD,,AGRICULTURAL TRAINING CENTRE IN HAGAZ - REGION OF SENHIT-ERITREA,ONGOING,1,INTERNAT NGO CSO UNI,1042092,1042092,31181,AGRICULTURAL EDUCATION TRAINING,B,A,B,C,B,IIB,,,,,,,,,,,,,,,,,,,,,6/1/2000,6/1/2004,8/11/2003,8/11/2003,2003,2003,11374,11374.000000AGRICULTURALTRAININGCENTREINHAGAZ-REGIONOFSENHIT-ERITREA,11374.000000AGRICULTURALTRAININGCENTREINHAGAZ-REGIONOFSENHIT-ERITREAERITREA,11374.000000AGRICULTURALTRAININGCENTREINHAGAZ-REGIONOFSENHIT-ERITREAERITREASINGLE COUNTRY NATIONAL PROJECT,1461,4.002739726,OLD,GOOD,,,,,,,,,,,,,,,,,GOOD,GOOD,GOOD,BAD,GOOD,GOOD,2CLASS_1_TO_5ML,2CLASS_1_TO_5ML,2CLASS_1_TO_2ML,1,1,MORE_1,0.7980835044,NGO,FOOD_2_INTEGRAZ,,0.349,,,,low,ONG_PVD,NGO,31100,2000,BEFORE_2002,3CLASS_1_TO_2ML,4C_ABOVE_4_YEARS,NONE,1042092,1,1.2530017153,0CLASS_1QUARTILE,3C_NORMAL,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,IIB,AB,OK,cluster-5,cluster-3,,,,OK
11428,ECHANGES SUD SUD-OUEST EN MILIEU RURAL ASSOCIATION,OCCASIONAL,11428,GUINEA CONAKRY,,,2000,1/26/2001,MR-001021.01,9381,SINGLE COUNTRY NATIONAL PROJECT,WESTERN AFRICA REGION,ONG-PVD,,L'ARBRE OUTIL DE DEVELOPPEMENT LOCAL INTENSIFIER ETDIVERSIFIER LE SYSTEME CULTURAL PAR LA GESTION DESRESSOURCES NATURELLES AU FOUTA DJALON - GUINEE,ONGOING,1,INTERNAT NGO CSO UNI,368941,368941,43040,RURAL DEVELOPMENT,B,B,B,B,B,IIA,,,,,,,,,,,,,,,,,,,,,9/1/2000,3/1/2004,7/3/2003,7/3/2003,2003,2003,11428,11428.000000L'ARBREOUTILDEDEVELOPPEMENTLOCALINTENSIFIERETDIVERSIFIERLESYSTEMECULTURALPARLAGESTIONDESRESSOURCESNATURELLESAUFOUTADJALON-GUINEE,11428.000000L'ARBREOUTILDEDEVELOPPEMENTLOCALINTENSIFIERETDIVERSIFIERLESYSTEMECULTURALPARLAGESTIONDESRESSOURCESNATURELLESAUFOUTADJALON-GUINEEGUINEA CONAKRY,11428.000000L'ARBREOUTILDEDEVELOPPEMENTLOCALINTENSIFIERETDIVERSIFIERLESYSTEMECULTURALPARLAGESTIONDESRESSOURCESNATURELLESAUFOUTADJALON-GUINEEGUINEA CONAKRYSINGLE COUNTRY NATIONAL PROJECT,1277,3.498630137,OLD,VERY GOOD,,,,,,,,,,,,,,,,,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,0.8104933438,NGO,FOOD_2_INTEGRAZ,,0.344,,,,low,ONG_PVD,NGO,43040,2000,BEFORE_2002,1CLASS_LESS_0_5_ML,3C_3_4_YEARS,NONE,368941,1,1.2338164251,0CLASS_1QUARTILE,3C_NORMAL,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,IIA,AA,OK,cluster-5,cluster-2,,,,OK
11664,KANSAINVALINEN SOLIDAARISUUSSAATIO,OCCASIONAL,11664,UGANDA,,,2001,1/14/2002,MR-001049.02,9433,SINGLE COUNTRY NATIONAL PROJECT,EASTERN AFRICA AND INDIAN OCEAN,ONG-PVD,,STRENGTHENING COMMUNITY BASED RESOURCE MOBILISATION TOEMPOWER VULNERABLE WOMEN AND THEIR CHILDREN IN MID-WESTERNUGANDA,ONGOING,1,INTERNAT NGO CSO UNI,602127.26,602127.26,43040,RURAL DEVELOPMENT,C,C,C,C,C,III,,,,,,,,,,,,,,,,,,,,,1/1/2002,7/1/2006,10/22/2004,10/22/2004,2004,2004,11664,11664.000000STRENGTHENINGCOMMUNITYBASEDRESOURCEMOBILISATIONTOEMPOWERVULNERABLEWOMENANDTHEIRCHILDRENINMID-WESTERNUGANDA,11664.000000STRENGTHENINGCOMMUNITYBASEDRESOURCEMOBILISATIONTOEMPOWERVULNERABLEWOMENANDTHEIRCHILDRENINMID-WESTERNUGANDAUGANDA,11664.000000STRENGTHENINGCOMMUNITYBASEDRESOURCEMOBILISATIONTOEMPOWERVULNERABLEWOMENANDTHEIRCHILDRENINMID-WESTERNUGANDAUGANDASINGLE COUNTRY NATIONAL PROJECT,1642,4.498630137,MATURE,BAD,,,,,,,,,,,,,,,,,BAD,BAD,BAD,BAD,BAD,BAD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,0.6242387333,NGO,FOOD_2_INTEGRAZ,0.372,0.446,0.1989247312,yes,,low,ONG_PVD,NGO,43040,2002,2002_2006,2CLASS_0_5_TO_1ML,4C_ABOVE_4_YEARS,NONE,602127.26,1,1.6019512195,0CLASS_1QUARTILE,4C_FAST,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,III,CD,FAILING,cluster-5,cluster-2,,,,FAILING
11666,CRUZ ROJA ESPANOLA FUNDACION,SUPER,11666,RWANDA,,,2001,1/20/2002,MR-001155.01,9434,SINGLE COUNTRY NATIONAL PROJECT,EASTERN AFRICA AND INDIAN OCEAN,ONG-PVD,,"PROJET DE DEVELOPPEMENT COMMUNAUTAIRE,COMMUNES DE BICUMBI,GIKORO ET BUTAMWA-RWANDA",ONGOING,1,INTERNAT NGO CSO UNI,557368,557368,52010,FOOD AID FOOD SECURITY PROGRAMMES,C,D,C,D,C,IV,,,,,,,,,,,,,,,,,,,,,1/31/2002,1/31/2006,3/5/2004,3/5/2004,2004,2004,11666,"11666.000000PROJETDEDEVELOPPEMENTCOMMUNAUTAIRE,COMMUNESDEBICUMBI,GIKOROETBUTAMWA-RWANDA","11666.000000PROJETDEDEVELOPPEMENTCOMMUNAUTAIRE,COMMUNESDEBICUMBI,GIKOROETBUTAMWA-RWANDARWANDA","11666.000000PROJETDEDEVELOPPEMENTCOMMUNAUTAIRE,COMMUNESDEBICUMBI,GIKOROETBUTAMWA-RWANDARWANDASINGLE COUNTRY NATIONAL PROJECT",1461,4.002739726,MATURE,BAD,,,,,,,,,,,,,,,,,BAD,BAD,BAD,BAD,BAD,BAD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,0.5229295003,NGO,FOOD_2_INTEGRAZ,0.313,0.429,0.3706070288,yes,,low,ONG_PVD,NGO,52010,2002,2002_2006,2CLASS_0_5_TO_1ML,4C_ABOVE_4_YEARS,NONE,557368,1,1.9123036649,0CLASS_1QUARTILE,4C_FAST,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,IV,CD,FAILING,cluster-1,cluster-3,,,,FAILING
11676,VZW OXFAM-SOLIDARITEIT,OCCASIONAL,11676,NAMIBIA,,,2001,1/3/2002,MR-001245.03,1617,SINGLE COUNTRY NATIONAL PROJECT,SOUTHERN AFRICA REGION,ONG-PVD,,SUPPORT TO ENHANCE LIVESTOCK MARKETING OF COMMUNAL FARMERSNAMIBIA,ONGOING,1,INTERNAT NGO CSO UNI,285375.47,285375.47,31163,LIVESTOCK,C,C,B,B,B,IIC,,,,,,,,,,,,,,,,,,,,,1/1/2002,6/30/2008,12/1/2006,12/1/2006,2006,2006,11676,11676.000000SUPPORTTOENHANCELIVESTOCKMARKETINGOFCOMMUNALFARMERSNAMIBIA,11676.000000SUPPORTTOENHANCELIVESTOCKMARKETINGOFCOMMUNALFARMERSNAMIBIANAMIBIA,11676.000000SUPPORTTOENHANCELIVESTOCKMARKETINGOFCOMMUNALFARMERSNAMIBIANAMIBIASINGLE COUNTRY NATIONAL PROJECT,2372,6.498630137,OLD,GOOD,,,,,,,,,,,,,,,,,BAD,BAD,GOOD,GOOD,GOOD,GOOD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,0.7567453626,NGO,FOOD_2_INTEGRAZ,0.577,0.625,0.0831889081,,,medium,ONG_PVD,NGO,31100,2002,2002_2006,1CLASS_LESS_0_5_ML,4C_ABOVE_4_YEARS,NONE,285375.47,1,1.321448468,0CLASS_1QUARTILE,3C_NORMAL,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,IIC,BC,PROBLEMS,cluster-5,cluster-2,,,,PROBLEMS
11679,STICHTING CORDAID,FREQUENT,11679,KENYA,F01,Agriculture & Rural development,2001,1/2/2002,MR-001055.01,1618,SINGLE COUNTRY NATIONAL PROJECT,EASTERN AFRICA AND INDIAN OCEAN,ONG-PVD,,ILKERIN LOITA DEVELOPMENT PROJECT - MAASAI PASTORALISTS-KENYA,ONGOING,1,INTERNAT NGO CSO UNI,720000,720000,31163,LIVESTOCK,B,B,B,B,B,IIA,,,,,,,,,,,,,,,,,,,,,1/1/2001,1/1/2005,10/17/2003,10/17/2003,2003,2003,11679,11679.000000ILKERINLOITADEVELOPMENTPROJECT-MAASAIPASTORALISTS-KENYA,11679.000000ILKERINLOITADEVELOPMENTPROJECT-MAASAIPASTORALISTS-KENYAKENYA,11679.000000ILKERINLOITADEVELOPMENTPROJECT-MAASAIPASTORALISTS-KENYAKENYASINGLE COUNTRY NATIONAL PROJECT,1461,4.002739726,OLD,VERY GOOD,,,,,,,,,,,,,,,,,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,0.697467488,NGO,FOOD_2_INTEGRAZ,0.443,0.509,0.1489841986,,,low,ONG_PVD,NGO,31100,2001,BEFORE_2002,2CLASS_0_5_TO_1ML,4C_ABOVE_4_YEARS,FOCAL,720000,1,1.4337585868,0CLASS_1QUARTILE,3C_NORMAL,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,IIA,AA,OK,cluster-5,cluster-3,,,,OK
11696,S.O.S. SAHEL INTERNATIONAL U.K. LBG,FREQUENT,11696,MALI,,,2001,1/8/2002,MR-001265.02,9445,SINGLE COUNTRY NATIONAL PROJECT,WESTERN AFRICA REGION,ONG-PVD,,TOMINIAN COMMUNITY DEVELOPMENT SUPPORT PROJECT - MALI,ONGOING,1,INTERNAT NGO CSO UNI,601934,601934,43040,RURAL DEVELOPMENT,B,B,B,B,B,IIA,,,,,,,,,,,,,,,,,,,,,1/1/2003,1/1/2008,12/7/2005,12/7/2005,2005,2005,11696,11696.000000TOMINIANCOMMUNITYDEVELOPMENTSUPPORTPROJECT-MALI,11696.000000TOMINIANCOMMUNITYDEVELOPMENTSUPPORTPROJECT-MALIMALI,11696.000000TOMINIANCOMMUNITYDEVELOPMENTSUPPORTPROJECT-MALIMALISINGLE COUNTRY NATIONAL PROJECT,1826,5.002739726,MATURE,VERY GOOD,,,,,,,,,,,,,,,,,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1CLASS_LESS_1ML,1,1,MORE_1,0.5865279299,NGO,FOOD_2_INTEGRAZ,0.275,0.359,0.3054545455,yes,,low,ONG_PVD,NGO,43040,2003,2002_2006,2CLASS_0_5_TO_1ML,4C_ABOVE_4_YEARS,NONE,601934,1,1.7049486461,0CLASS_1QUARTILE,4C_FAST,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,NONE,NONE,NA,NONE,NONE,NONE,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,IIA,AA,OK,cluster-5,cluster-2,,,,OK
